Card Name,Bayes Smoothed Winrate %,Raw Post-Acquisition Winrate %,Combined Post-Acquisition Record,Total Post Matches Tracked,Pools Opened In
"Shocker, Unshakable (Copy 2)",47.22,12.5,1-7,8,1
Agents of S.H.I.E.L.D. (Copy 2),47.21,46.26,136-158,294,24
Mountain (Copy 4),47.21,44.33,43-54,97,15
Falcon's Wing Harness (Copy 1),47.2,46.68,253-289,542,37
Undercover Skrull (Copy 1),47.2,47.03,769-866,1635,98
Boiling Rock Prison (Copy 1),47.2,42.62,26-35,61,7
Crimson Operative (Copy 2),47.2,46.52,194-223,417,31
Spectacular Tactics (Copy 1),47.2,46.3,144-167,311,24
S.H.I.E.L.D. Spy Kit (Copy 3),47.2,42.62,26-35,61,7
Origin of Spider-Man (Copy 1),47.2,42.62,26-35,61,5
Sword of Wealth and Power (Copy 1),47.2,36.0,9-16,25,3
Extinction Event (Copy 1),47.2,36.0,9-16,25,3
"Judith, Carnage Connoisseur (Copy 1)",47.2,36.0,9-16,25,2
Pet Avengers (Copy 2),47.19,46.38,160-185,345,28
Bruce Banner // The Incredible Hulk (Copy 1),47.18,45.65,84-100,184,11
"Spider-Byte, Web Warden (Copy 1)",47.17,44.64,50-62,112,10
Escape Tunnel (Copy 3),47.17,0.0,0-6,6,2
The Serpent Society (Copy 1),47.17,46.39,167-193,360,24
Hobbit's Sting (Copy 2),47.17,0.0,0-6,6,2
Fire Navy Trebuchet (Copy 2),47.17,0.0,0-6,6,2
Bristlepack Sentry (Copy 2),47.17,0.0,0-6,6,2
Bedlam (Copy 1),47.17,0.0,0-6,6,1
"Bebop, Warthog Warrior (Copy 2)",47.17,0.0,0-6,6,1
Mutant Town Musicians (Copy 3),47.17,0.0,0-6,6,1
Raphael's Technique (Copy 1),47.17,0.0,0-6,6,1
Madame Hydra (Copy 1),47.16,46.88,474-537,1011,61
Dark Fortress (Copy 1),47.16,46.67,266-304,570,35
"Spider-Girl, Legacy Hero (Copy 1)",47.15,44.09,41-52,93,8
Lavaspur Boots (Copy 1),47.15,34.78,8-15,23,3
"Leonardo, Sewer Samurai (Copy 1)",47.15,34.78,8-15,23,2
Fanatical Strength (MKM) 310† (Copy 1),47.15,34.78,8-15,23,2
"Patriot, Shield Wielder (Copy 2)",47.14,40.0,16-24,40,5
Giant-Sized Flying Ant (Copy 2),47.14,46.25,148-172,320,25
Gearbane Orangutan (Copy 1),47.14,44.55,49-61,110,11
Vengeful Creeper (Copy 1),47.13,45.79,98-116,214,16
Birnin Zana Plaza (Copy 1),47.13,46.86,500-567,1067,68
Diligent Zookeeper (Copy 1),47.13,43.24,32-42,74,7
HYDRA Assault Robot (Copy 3),47.12,44.44,48-60,108,8
Tony Stark // The Invincible Iron Man (Copy 1),47.12,43.96,40-51,91,6
Ephemerate (Copy 1),47.11,33.33,7-14,21,2
Volcanic Villain (Copy 3),47.1,41.82,23-32,55,5
Transdimensional Bovine (Copy 1),47.1,39.47,15-23,38,3
Venom's Hunger (Copy 1),47.09,46.04,128-150,278,21
Luxurious Locomotive (Copy 1),47.09,44.34,47-59,106,10
Bold Biochemist (Copy 1),47.08,46.88,692-784,1476,93
HYDRA Assault Robot (Copy 4),47.06,31.58,6-13,19,2
"Kraven, Proud Predator (Copy 1)",47.06,38.89,14-22,36,8
"Spider-Slayer, Hatred Honed (Copy 1)",47.06,44.23,46-58,104,10
Pippin's Bravery (Copy 2),47.06,31.58,6-13,19,3
Invasion Tactics (Copy 1),47.06,38.89,14-22,36,3
Fire of Orthanc (Copy 1),47.06,44.23,46-58,104,10
Bombadil's Song (Copy 2),47.06,31.58,6-13,19,3
Web of Life and Destiny (Copy 1),47.06,38.89,14-22,36,3
Villainous Wealth (Copy 1),47.06,31.58,6-13,19,3
HYDRA Infiltration (Copy 2),47.04,46.13,149-174,323,26
Lightning Strike (Copy 2),47.04,46.44,228-263,491,40
Kang the Conqueror (Copy 1),47.04,45.1,69-84,153,10
Roxxon Brutes (Copy 2),47.02,46.29,187-217,404,28
Suburban Sanctuary (Copy 1),47.02,45.66,100-119,219,19
Rictus Robber (Copy 1),47.02,41.18,21-30,51,5
Escape from Orthanc (Copy 1),47.01,45.24,76-92,168,14
S.H.I.E.L.D. Helicarrier (Copy 3),47.01,38.24,13-21,34,2
Biorganic Carapace (Copy 1),47.01,38.24,13-21,34,3
Morgul-Knife Wound (Copy 2),47.01,29.41,5-12,17,3
Agents of HYDRA (Copy 3),47.01,38.24,13-21,34,3
"War Machine, Legacy of Iron (Copy 1)",47.0,46.65,397-454,851,51
Turtle-Duck (Copy 1),46.98,45.45,90-108,198,17
Stark Industries Executive (Copy 1),46.97,46.77,687-782,1469,90
Eagles of the North (Copy 1),46.97,45.75,113-134,247,20
Saber-Tooth Moose-Lion (Copy 1),46.97,45.12,74-90,164,13
Tenderize (Copy 2),46.97,37.5,12-20,32,4
Rohirrim Lancer (Copy 1),46.97,45.12,74-90,164,11
Minas Tirith (Copy 1),46.97,37.5,12-20,32,2
Serpent Specialist (Copy 4),46.96,26.67,4-11,15,3
Ant-Man's Army (Copy 4),46.96,26.67,4-11,15,1
Spider-Verse (Copy 1),46.96,26.67,4-11,15,1
"Taskmaster, Mercenary Mimic (Copy 2)",46.96,26.67,4-11,15,1
Worldsoul's Rage (Copy 1),46.96,26.67,4-11,15,1
Lead Pipe (Copy 1),46.96,26.67,4-11,15,1
Treacherous Terrain (Copy 1),46.96,26.67,4-11,15,1
"Kaya, Spirits' Justice (Copy 1)",46.96,26.67,4-11,15,1
Escape Tunnel (Copy 1),46.95,46.06,158-185,343,32
Basilica Stalker (Copy 1),46.94,45.77,119-141,260,24
Kree Commandos (Copy 4),46.94,40.43,19-28,47,4
"Klaw, Sonic Subjugator (Copy 1)",46.93,46.47,309-356,665,43
Brave Brawler (Copy 2),46.93,45.99,149-175,324,26
Spider-Mobile (Copy 1),46.93,43.04,34-45,79,8
"Human Torch, Johnny Storm (Copy 1)",46.92,46.56,392-450,842,51
Thunderbolts Conspiracy (Copy 2),46.92,36.67,11-19,30,3
Foggy Swamp Visions (Copy 1),46.92,36.67,11-19,30,3
Giant Beaver (Copy 2),46.9,23.08,3-10,13,2
Fall of Gil-galad (Copy 1),46.9,23.08,3-10,13,3
Assemble the Players (Copy 1),46.9,23.08,3-10,13,2
The Masters of Evil (Copy 3),46.9,23.08,3-10,13,3
Hustle // Bustle (Copy 1),46.9,40.0,18-27,45,4
Forensic Gadgeteer (Copy 1),46.88,35.71,10-18,28,2
Mystical Tether (Copy 1),46.88,44.87,70-86,156,14
Blacksnag Buzzard (Copy 1),46.88,45.72,123-146,269,25
"Aurelia, the Law Above (Copy 1)",46.88,35.71,10-18,28,3
Genghis Frog (Copy 1),46.88,43.48,40-52,92,13
Thornado (Copy 1),46.86,43.93,47-60,107,8
Jagged Barrens (Copy 1),46.86,43.93,47-60,107,8
Wakandan Drone Flock (Copy 3),46.86,42.67,32-43,75,5
Barrels of Blasting Jelly (Copy 1),46.86,42.67,32-43,75,7
Red Hulk (Copy 1),46.85,46.42,337-389,726,49
Drag the Canal (Copy 1),46.85,39.53,17-26,43,4
The Fire Nation Drill (Copy 1),46.85,18.18,2-9,11,2
Case of the Pilfered Proof (Copy 1),46.85,39.53,17-26,43,3
Dunland Crebain (Copy 3),46.85,18.18,2-9,11,1
Radagast the Brown (Copy 1),46.85,18.18,2-9,11,2
Barrow-Blade (Copy 2),46.85,18.18,2-9,11,1
Action News Crew (Copy 2),46.85,18.18,2-9,11,3
Fell the Mighty (Copy 1),46.85,18.18,2-9,11,1
Savage Mansion (Copy 2),46.85,18.18,2-9,11,3
"Niv-Mizzet, Guildpact (MKM) 319z (Copy 1)",46.85,18.18,2-9,11,1
Mountain (Copy 2),46.84,46.54,491-564,1055,83
Bespoke Bō (Copy 1),46.84,41.38,24-34,58,7
Web-Shooters (Copy 1),46.83,43.81,46-59,105,10
Mouser Attack! (Copy 1),46.83,45.45,105-126,231,25
Rebellious Captives (Copy 1),46.83,45.11,83-101,184,16
Thunder Salvo (Copy 1),46.83,45.11,83-101,184,14
Robotics Mastery (Copy 2),46.83,34.62,9-17,26,2
Scene of the Crime (Copy 1),46.81,39.02,16-25,41,5
Bold Biochemist (Copy 2),46.8,45.89,162-191,353,30
Sold Out (Copy 1),46.79,45.28,96-116,212,20
Thundering Falls (Copy 1),46.79,11.11,1-8,9,1
"Abomination, Terrifying Titan (Copy 2)",46.79,41.07,23-33,56,4
Brave Brawler (Copy 4),46.79,11.11,1-8,9,1
Hydraulic Helper (Copy 2),46.78,46.17,241-281,522,39
Grow Extra Arms (Copy 1),46.77,45.7,138-164,302,25
Ultron Drone (Copy 2),46.77,45.81,153-181,334,26
Morbius the Living Vampire (Copy 1),46.77,44.59,66-82,148,13
Deserter's Disciple (Copy 1),46.77,45.24,95-115,210,18
Unlucky Cabbage Merchant (Copy 1),46.77,43.56,44-57,101,7
Resilient Roadrunner (Copy 1),46.77,33.33,8-16,24,2
Perimeter Enforcer (Copy 1),46.77,33.33,8-16,24,2
Ant-Man's Army (Copy 1),46.76,46.56,772-886,1658,105
"She-Hulk, Jade Defender (Copy 2)",46.75,44.52,65-81,146,11
Essence Capture (Copy 1),46.75,40.74,22-32,54,4
"Zog, Triceraton Castaway (Copy 1)",46.74,44.72,72-89,161,16
"Sauron, the Dark Lord (Copy 1)",46.73,0.0,0-7,7,1
"Agent 13, Sharon Carter (Copy 3)",46.73,0.0,0-7,7,1
Swamp (Copy 6),46.73,0.0,0-7,7,1
Pariah (Copy 1),46.73,0.0,0-7,7,1
Team Tactics (Copy 3),46.73,0.0,0-7,7,1
Web Up (Copy 1),46.72,46.52,761-875,1636,103
Daily Bugle Building (Copy 1),46.72,44.19,57-72,129,13
Thor Odinson (Copy 2),46.72,37.84,14-23,37,3
Intrude on the Mind (Copy 1),46.72,37.84,14-23,37,3
The Unagi of Kyoshi Island (Copy 1),46.72,37.84,14-23,37,4
Powerful Broker (Copy 1),46.71,46.5,717-825,1542,96
Pym Technologies (Copy 1),46.71,46.4,483-558,1041,65
Squirrelanoids (Copy 1),46.71,41.79,28-39,67,8
Corrupt Court Official (Copy 1),46.71,44.97,85-104,189,15
"Bumi, Unleashed (Copy 1)",46.71,40.38,21-31,52,3
A.I.M. Labs (Copy 2),46.7,44.09,56-71,127,10
Battle-Scarred Goblin (Copy 1),46.7,43.75,49-63,112,14
Mirkwood Bats (Copy 1),46.69,45.42,119-143,262,21
Origin of the Avengers (Copy 1),46.69,45.16,98-119,217,18
Damage Control Crew (Copy 1),46.69,44.59,70-87,157,13
Visions of Villainy (Copy 1),46.67,46.43,644-743,1387,88
Call a Surprise Witness (Copy 1),46.67,40.0,20-30,50,5
"Loki, God of Mischief (Copy 1)",46.67,45.62,146-174,320,27
Helicarrier Strike (Copy 3),46.67,42.5,34-46,80,7
Shock (Copy 1),46.67,45.79,174-206,380,38
Agent Phil Coulson (Copy 1),46.67,45.31,111-134,245,15
This Town Ain't Big Enough (Copy 1),46.67,41.54,27-38,65,6
Hollow Marauder (Copy 1),46.67,30.0,6-14,20,3
"Spider-Rex, Daring Dino (Copy 1)",46.67,45.0,90-110,200,17
Nazgûl (Copy 1),46.67,40.0,20-30,50,4
Shire Shirriff (Copy 1),46.67,41.54,27-38,65,5
Shortcut to Mushrooms (Copy 1),46.67,30.0,6-14,20,3
"Donatello, Way with Machines (Copy 2)",46.67,30.0,6-14,20,2
The Legend of Kuruk // Avatar Kuruk (Copy 1),46.67,37.14,13-22,35,3
Widow's Bite (Copy 3),46.67,40.0,20-30,50,4
Trickster's Stratagem (Copy 2),46.66,45.96,222-261,483,35
Risky Research (Copy 1),46.65,45.49,131-157,288,26
Kree Commandos (Copy 1),46.64,46.42,706-815,1521,91
Person of Interest (Copy 1),46.64,44.95,89-109,198,16
Sandbenders' Storm (Copy 1),46.64,44.44,68-85,153,14
Desperate Bloodseeker (Copy 1),46.64,43.9,54-69,123,12
Return to the Sewers (Copy 1),46.63,43.01,40-53,93,14
Raging Goblinoids (Copy 1),46.63,42.31,33-45,78,7
Super-Skrull (Copy 1),46.62,45.83,198-234,432,28
"Butterbur, Bree Innkeeper (Copy 1)",46.62,36.36,12-21,33,4
Unliving Legionnaire (Copy 3),46.62,36.36,12-21,33,4
Sumala Sentry (Copy 1),46.62,39.58,19-29,48,5
Gwaihir the Windlord (Copy 1),46.62,39.58,19-29,48,6
Surveillance Room (Copy 1),46.61,46.4,747-863,1610,98
Skyward Spider (Copy 2),46.61,27.78,5-13,18,2
Freestrider Lookout (Copy 1),46.61,27.78,5-13,18,2
Agents of HYDRA (Copy 1),46.6,46.4,799-923,1722,106
Mutant Town (Copy 1),46.6,44.85,87-107,194,20
Treason of Isengard (Copy 1),46.6,44.98,94-115,209,20
"Spider-Ham, Peter Porker (Copy 1)",46.6,42.86,39-52,91,8
HYDRA Assault Robot (Copy 1),46.59,46.37,716-828,1544,96
Castle Doom (Copy 1),46.59,45.63,162-193,355,22
Rakish Scoundrel (Copy 1),46.59,44.3,66-83,149,12
"U.S.Agent, John Walker (Copy 1)",46.58,46.13,352-411,763,54
News Helicopter (Copy 1),46.58,43.7,52-67,119,11
"Now for Wrath, Now for Ruin! (Copy 1)",46.58,43.7,52-67,119,11
S.H.I.E.L.D. Spy Kit (Copy 1),46.57,46.36,777-899,1676,107
Harrier Strix (Copy 1),46.56,44.22,65-82,147,16
"Rhino, Barreling Brute (Copy 1)",46.56,42.7,38-51,89,8
Ostrich-Horse (Copy 1),46.55,43.94,58-74,132,14
Saruman's Trickery (Copy 1),46.55,43.94,58-74,132,10
Warbeast of Gorgoroth (Copy 1),46.55,44.57,78-97,175,13
Retro-Mutation (Copy 2),46.55,25.0,4-12,16,2
"Hawkeye, Master Marksman (Copy 1)",46.54,45.66,179-213,392,23
"Shocker, Unshakable (Copy 1)",46.54,43.59,51-66,117,8
"Viv Vision, Teen Synthezoid (Copy 2)",46.53,43.14,44-58,102,9
Truck Toss (Copy 1),46.52,45.99,298-350,648,43
Quintessential Katana (Copy 1),46.52,42.53,37-50,87,8
"Teo, Spirited Glider (Copy 1)",46.51,41.67,30-42,72,6
Rewrite History (Copy 1),46.51,46.01,317-372,689,44
Island (Copy 4),46.51,41.67,30-42,72,11
Airbender Ascension (Copy 1),46.51,34.48,10-19,29,4
Tiger-Seal (Copy 1),46.51,34.48,10-19,29,3
Teferi's Protection (Copy 1),46.49,21.43,3-11,14,1
"The Mighty Thor, Jane Foster (Copy 2)",46.49,21.43,3-11,14,1
Make Your Move (Copy 2),46.49,21.43,3-11,14,2
Ka-Zar of the Savage Land (Copy 2),46.49,42.35,36-49,85,8
Gathering Place (Copy 2),46.49,21.43,3-11,14,2
Dunland Crebain (Copy 2),46.49,21.43,3-11,14,1
Moria Marauder (Copy 1),46.49,21.43,3-11,14,1
"Legolas, Counter of Kills (Copy 2)",46.49,21.43,3-11,14,1
Origin of Metalbending (Copy 2),46.49,21.43,3-11,14,2
Evidence Examiner (Copy 1),46.48,38.1,16-26,42,5
Rosie Cotton of South Lane (Copy 1),46.48,43.36,49-64,113,8
Crowd of True Believers (Copy 2),46.47,45.83,253-299,552,37
Public Thoroughfare (Copy 1),46.47,41.43,29-41,70,8
Hidden Lair (Copy 1),46.47,45.78,233-276,509,32
Inherited Envelope (Copy 1),46.47,43.97,62-79,141,14
Super Suit (Copy 3),46.47,41.43,29-41,70,5
Crowd of True Believers (Copy 1),46.45,46.22,715-832,1547,100
"Zuko, Exiled Prince (Copy 1)",46.45,42.17,35-48,83,6
Scout the City (Copy 1),46.45,43.24,48-63,111,12
"Boromir, Warden of the Tower (Copy 1)",46.45,40.0,22-33,55,4
Dreadful as the Storm (Copy 1),46.44,44.62,87-108,195,16
"Molten Man, Inferno Incarnate (Copy 1)",46.44,43.88,61-78,139,14
Light of Promise (Copy 1),46.43,37.5,15-25,40,3
Helicarrier Strike (Copy 5),46.43,16.67,2-10,12,1
Defenestrated Phantom (Copy 1),46.42,44.24,73-92,165,12
Robot Domination (Copy 1),46.41,46.01,415-487,902,59
"Kang, Temporal Tyrant (Copy 2)",46.41,41.98,34-47,81,7
Absolving Lammasu (Copy 1),46.41,39.62,21-32,53,5
Rapid Rescue (Copy 1),46.4,46.17,729-850,1579,98
Kyoshi Battle Fan (Copy 1),46.4,44.38,79-99,178,16
"Renet, Temporal Apprentice (Copy 1)",46.4,32.0,8-17,25,3
"Nick Fury, Agent of S.H.I.E.L.D. (Copy 2)",46.4,32.0,8-17,25,3
Go Nuts! (Copy 2),46.39,45.29,149-180,329,28
Death to Our Enemies (Copy 1),46.38,45.93,367-432,799,52
Claim the Precious (Copy 1),46.38,42.99,46-61,107,10
Haazda Vigilante (Copy 1),46.37,43.92,65-83,148,13
Savage Smash (Copy 1),46.36,39.22,20-31,51,3
"Leatherhead, Swamp Stalker (Copy 1)",46.36,39.22,20-31,51,5
The Last Ronin's Technique (Copy 1),46.36,39.22,20-31,51,5
Stubborn Burrowfiend (Copy 1),46.36,10.0,1-9,10,2
Glider Kids (Copy 2),46.36,10.0,1-9,10,1
Yuyan Archers (Copy 2),46.36,10.0,1-9,10,1
Death Cloud (PLST) DST-40 (Copy 1),46.36,10.0,1-9,10,1
"Raph & Leo, Sibling Rivals (Copy 1)",46.36,10.0,1-9,10,1
Whoosh! (Copy 2),46.36,10.0,1-9,10,2
Mutant Town Musicians (Copy 2),46.36,10.0,1-9,10,1
Kree Sentinel (Copy 1),46.35,46.13,751-877,1628,95
Futurist Forge (Copy 1),46.35,46.1,674-788,1462,87
Super Intelligence (Copy 1),46.35,45.78,293-347,640,41
"Hulkling, Burgeoning Bruiser (Copy 1)",46.35,45.87,350-413,763,48
Tunnel Tipster (Copy 1),46.35,44.25,77-97,174,14
Origin of Metalbending (Copy 1),46.35,44.65,96-119,215,17
Multiversal Passage (Copy 1),46.35,42.39,39-53,92,8
Repulsor Blast (Copy 3),46.35,42.39,39-53,92,9
"Falcon, Winged Wonder (Copy 1)",46.34,45.84,336-397,733,52
"Wonder Man, Hollywood Hero (Copy 2)",46.34,42.86,45-60,105,8
Pictures of Spider-Man (Copy 1),46.34,42.86,45-60,105,10
"Tokka & Rahzar, Terrible Twos (Copy 1)",46.34,30.43,7-16,23,2
Red Room Recruit (Copy 1),46.33,46.09,701-820,1521,95
Gandalf's Sanction (Copy 1),46.32,42.22,38-52,90,7
Lobelia Sackville-Baggins (Copy 1),46.32,36.11,13-23,36,5
Éomer of the Riddermark (Copy 1),46.32,36.11,13-23,36,4
"Lazav, Familiar Stranger (Copy 1)",46.32,36.11,13-23,36,3
"White Tiger, Ava Ayala (Copy 1)",46.31,45.85,370-437,807,50
"Iron Spider, Stark Upgrade (Copy 1)",46.31,38.78,19-30,49,4
Guerrilla Gorilla (Copy 2),46.31,45.48,201-241,442,33
Villainous Hideout (Copy 2),46.31,38.78,19-30,49,5
Return the Favor (Copy 1),46.31,38.78,19-30,49,4
Knight of Wundagore (Copy 1),46.3,45.99,551-647,1198,80
The Wondrous Wasp (Copy 1),46.3,45.43,194-233,427,24
Elemental Teachings (Copy 1),46.3,40.32,25-37,62,4
Cruel Administrator (Copy 1),46.3,40.32,25-37,62,6
"Titania, Rugged Rumbler (Copy 2)",46.3,43.1,50-66,116,8
Web-Warriors (Copy 2),46.3,0.0,0-8,8,2
Outlaws' Fury (Copy 2),46.3,0.0,0-8,8,1
Urgent Necropsy (Copy 1),46.3,0.0,0-8,8,1
Nazgûl (Copy 2),46.3,0.0,0-8,8,1
Loki Laufeyson (Copy 1),46.29,45.83,368-435,803,50
Meddling Youths (Copy 1),46.29,41.33,31-44,75,8
The Mind Stone (Copy 1),46.29,44.73,106-131,237,15
Peregrin Took (Copy 1),46.28,43.66,62-80,142,11
Agna Qel'a (Copy 1),46.28,28.57,6-15,21,3
Web-Warriors (Copy 1),46.27,44.05,74-94,168,14
Trained Arynx (Copy 1),46.27,43.87,68-87,155,15
Spider-UK (Copy 1),46.27,42.57,43-58,101,10
Panther Pounce (Copy 2),46.26,45.32,179-216,395,31
Ringsight (Copy 1),46.26,43.31,55-72,127,9
Mine Raider (Copy 1),46.25,44.64,104-129,233,21
Visions of Villainy (Copy 2),46.25,44.95,129-158,287,22
"Jessica Jones, Private Eye (Copy 1)",46.24,45.77,368-436,804,51
Spider Manifestation (Copy 1),46.24,45.09,147-179,326,25
Repulsor Blast (Copy 1),46.23,45.99,735-863,1598,98
Shredder's Technique (Copy 1),46.23,42.42,42-57,99,10
Case of the Shattered Pact (Copy 1),46.22,26.32,5-14,19,3
Claim the Kingdom (Copy 2),46.22,26.32,5-14,19,3
Reanimate (Copy 1),46.22,26.32,5-14,19,2
Kapow! (Copy 1),46.21,44.21,84-106,190,18
New Generation's Technique (Copy 1),46.21,34.38,11-21,32,3
They Went This Way (Copy 1),46.2,44.44,96-120,216,15
Villainous Hideout (Copy 1),46.19,45.55,271-324,595,37
Superior Foes of Spider-Man (Copy 1),46.19,42.73,47-63,110,11
Kingpin's Enforcers (Copy 3),46.19,43.09,53-70,123,10
The Ruinous Wrecking Crew (Copy 1),46.18,45.26,186-225,411,28
Knights of Dol Amroth (Copy 1),46.18,44.0,77-98,175,13
"Captain Marvel, Earth's Protector (Copy 1)",46.18,44.0,77-98,175,11
Alley Assailant (Copy 2),46.15,23.53,4-13,17,3
Swamp (Copy 1),46.15,45.96,968-1138,2106,140
Sandman's Quicksand (Copy 1),46.15,39.29,22-34,56,4
Merciless Enforcers (Copy 2),46.15,37.21,16-27,43,6
Path to Exile (Copy 1),46.15,39.29,22-34,56,6
Cunning Maneuver (Copy 2),46.15,23.53,4-13,17,2
Foggy Swamp Spirit Keeper (Copy 2),46.15,33.33,10-20,30,2
The Rise of Sozin // Fire Lord Sozin (Copy 1),46.15,33.33,10-20,30,2
Cosmic Cube (Copy 2),46.15,23.53,4-13,17,2
Lurking Lizards (Copy 2),46.15,23.53,4-13,17,4
Party Dude (Copy 1),46.15,33.33,10-20,30,3
Mountain (Copy 1),46.14,45.96,979-1151,2130,135
Wakandan Drone Flock (Copy 1),46.12,45.86,682-805,1487,96
Mobile Homestead (Copy 1),46.12,43.45,63-82,145,13
Behind the Mask (Copy 1),46.12,43.67,69-89,158,15
HYDRA Troopers (Copy 2),46.12,45.4,247-297,544,33
"Ezekiel Sims, Spider-Totem (Copy 1)",46.11,41.25,33-47,80,8
Dark Deed (Copy 2),46.11,41.94,39-54,93,9
Foot Ninjas (Copy 1),46.1,43.79,74-95,169,16
Stolen Stark Tech (Copy 3),46.1,38.89,21-33,54,4
Reckless Detective (Copy 1),46.1,38.89,21-33,54,4
Rockalanche (Copy 1),46.1,36.59,15-26,41,4
Ninja of the Hand (Copy 1),46.09,45.83,693-819,1512,94
Dai Li Indoctrination (Copy 1),46.09,43.59,68-88,156,14
"Hobgoblin, Mantled Marauder (Copy 1)",46.09,20.0,3-12,15,3
Aloe Alchemist (Copy 1),46.09,32.14,9-19,28,4
Ferocification (Copy 1),46.08,42.74,50-67,117,8
Crowd-Control Warden (Copy 1),46.08,42.74,50-67,117,10
Hydraulic Helper (Copy 1),46.07,45.84,754-891,1645,101
Shared Roots (Copy 1),46.07,41.76,38-53,91,7
Southern Air Temple (Copy 1),46.07,41.03,32-46,78,6
Punishing Punch (Copy 1),46.06,45.49,318-381,699,44
"Rick Jones, Destined Sidekick (Copy 1)",46.06,45.59,388-463,851,53
War Balloon (Copy 1),46.06,40.0,26-39,65,7
Canyon Crawler (Copy 1),46.06,43.51,67-87,154,15
Passenger Ferry (Copy 1),46.05,44.57,119-148,267,21
Kree Commandos (Copy 3),46.05,42.61,49-66,115,8
Cowabunga! (Copy 2),46.05,38.46,20-32,52,4
Honest Work (Copy 1),46.05,38.46,20-32,52,5
Hell's Kitchen (Copy 2),46.05,38.46,20-32,52,7
Machinesmith Automaton (Copy 2),46.04,45.28,235-284,519,35
HULK SMASH! (Copy 1),46.04,45.76,659-781,1440,92
Murdock's Crusade (Copy 2),46.03,45.01,176-215,391,31
"Ultron, Artificial Malevolence (Copy 1)",46.03,44.06,89-113,202,12
"Agent 13, Sharon Carter (Copy 1)",46.03,45.36,269-324,593,39
Super-Adaptoid (Copy 1),46.03,45.05,182-222,404,24
"Silk, Web Weaver (Copy 1)",46.03,30.77,8-18,26,2
Undercity Eliminator (Copy 1),46.03,30.77,8-18,26,2
"Aang, Swift Savior // Aang and La, Ocean's Fury (Copy 1)",46.03,30.77,8-18,26,3
Foggy Swamp Spirit Keeper (Copy 1),46.02,40.79,31-45,76,7
Undercity Sewers (Copy 1),46.02,15.38,2-11,13,1
Eerie Gravestone (Copy 1),46.02,44.35,106-133,239,22
"April O'Neil, Kunoichi Trainee (Copy 1)",46.02,40.79,31-45,76,10
Forest (Copy 5),46.02,15.38,2-11,13,3
Razzle-Dazzler (Copy 2),46.02,15.38,2-11,13,2
"Starling, Aerial Ally (Copy 2)",46.02,15.38,2-11,13,2
Fire Nation Palace (Copy 1),46.02,15.38,2-11,13,1
"Elektra, Daughter of the Hand (Copy 3)",46.02,15.38,2-11,13,1
Go Nuts! (Copy 3),46.01,39.68,25-38,63,5
Samwise Gamgee (Copy 1),45.99,35.14,13-24,37,3
Stegron the Dinosaur Man (Copy 1),45.99,44.3,105-132,237,22
"Mona Lisa, Science Geek (Copy 1)",45.99,41.38,36-51,87,7
Saruman the White (Copy 1),45.99,35.14,13-24,37,4
Subterranean Cavern (Copy 1),45.98,45.53,402-481,883,58
S.H.I.E.L.D. Deployment Drone (Copy 3),45.98,40.54,30-44,74,9
Red Room Recruit (Copy 2),45.97,45.03,195-238,433,34
"Michelangelo, Weirdness to 11 (Copy 1)",45.97,29.17,7-17,24,3
Price of Freedom (Copy 1),45.97,29.17,7-17,24,3
Macabre Reconstruction (Copy 1),45.96,44.4,115-144,259,19
West Wind Avatar (Copy 1),45.96,39.34,24-37,61,6
Wakandan Royal Guard (Copy 1),45.95,45.72,795-944,1739,102
"Ray Fillet, Man Ray (Copy 2)",45.95,9.09,1-10,11,1
Mouser Foundry (Copy 2),45.95,9.09,1-10,11,1
North Wind Avatar (Copy 1),45.95,9.09,1-10,11,1
Ice Cream Kitty (Copy 2),45.95,9.09,1-10,11,1
Quarrel's End (Copy 2),45.95,9.09,1-10,11,2
Brandywine Farmer (Copy 2),45.95,9.09,1-10,11,2
Meditation Pools (Copy 1),45.95,42.62,52-70,122,14
Platypus-Bear (Copy 2),45.95,9.09,1-10,11,2
Bite Down on Crime (Copy 1),45.94,44.09,97-123,220,18
Call Damage Control (Copy 1),45.93,45.65,672-800,1472,93
Neutralize the Guards (Copy 1),45.93,42.2,46-63,109,8
Uncle Iroh (Copy 1),45.93,40.28,29-43,72,6
"Jackal, Genius Geneticist (Copy 1)",45.93,34.29,12-23,35,3
Web Up (Copy 3),45.93,42.2,46-63,109,11
South Pole Voyager (Copy 1),45.93,40.28,29-43,72,7
Iron-Fist Pulverizer (Copy 1),45.92,44.31,113-142,255,25
Hawkeye's Bow (Copy 1),45.92,45.65,704-838,1542,93
Esquire of the King (Copy 1),45.92,42.86,57-76,133,11
Secret Identity (Copy 1),45.92,41.67,40-56,96,8
"Professor Zei, Anthropologist (Copy 1)",45.92,41.67,40-56,96,9
"Iron Lad, Diverging Destiny (Copy 1)",45.91,45.27,292-353,645,41
Angry Rabble (Copy 1),45.91,43.65,79-102,181,18
Buzz Bots (Copy 1),45.91,42.5,51-69,120,10
Hex Magic (Copy 2),45.91,38.98,23-36,59,4
"Hercules, Prince of Power (Copy 1)",45.9,45.47,437-524,961,61
Arc Reactor (Copy 2),45.9,27.27,6-16,22,3
Fog on the Barrow-Downs (Copy 1),45.9,44.1,101-128,229,18
The Pride of Hull Clade (Copy 1),45.9,27.27,6-16,22,2
